id,side,entered_bed_at,left_bed_at,sleep_duration_seconds,times_exited_bed,present_intervals,not_present_intervals,created_at
120,left,1777629133,1777632973,3840,16,"[[1777629133.0, 1777629378.0], [1777629378.0, 1777629583.0], [1777629591.0, 1777629591.0], [1777629592.0, 1777632200.0], [1777632202.0, 1777632203.0], [1777632203.0, 1777632207.0], [1777632208.0, 1777632209.0], [1777632212.0, 1777632213.0], [1777632214.0, 1777632215.0], [1777632217.0, 1777632405.0], [1777632406.0, 1777632407.0], [1777632409.0, 1777632410.0], [1777632412.0, 1777632412.0], [1777632413.0, 1777632959.0], [1777632966.0, 1777632967.0], [1777632973.0, 1777632973.0]]","[[1777629378.0, 1777629378.0], [1777629583.0, 1777629591.0], [1777629591.0, 1777629592.0], [1777632200.0, 1777632202.0], [1777632203.0, 1777632203.0], [1777632207.0, 1777632208.0], [1777632209.0, 1777632212.0], [1777632213.0, 1777632214.0], [1777632215.0, 1777632217.0], [1777632405.0, 1777632406.0], [1777632407.0, 1777632409.0], [1777632410.0, 1777632412.0], [1777632412.0, 1777632413.0], [1777632959.0, 1777632966.0], [1777632967.0, 1777632973.0]]",1777633095
121,left,1777633489,1777635048,1559,5,"[[1777633489.0, 1777633492.0], [1777633493.0, 1777633494.0], [1777633500.0, 1777633501.0], [1777633502.0, 1777635040.0], [1777635046.0, 1777635048.0]]","[[1777633492.0, 1777633493.0], [1777633494.0, 1777633500.0], [1777633501.0, 1777633502.0], [1777635040.0, 1777635046.0]]",1777635170
122,right,1777609560,1777636224,26664,31,"[[1777609560.0, 1777636118.0], [1777636119.0, 1777636137.0], [1777636138.0, 1777636141.0], [1777636141.0, 1777636145.0], [1777636146.0, 1777636148.0], [1777636149.0, 1777636149.0], [1777636150.0, 1777636152.0], [1777636154.0, 1777636154.0], [1777636155.0, 1777636157.0], [1777636158.0, 1777636158.0], [1777636160.0, 1777636161.0], [1777636162.0, 1777636163.0], [1777636164.0, 1777636165.0], [1777636167.0, 1777636169.0], [1777636169.0, 1777636170.0], [1777636172.0, 1777636172.0], [1777636174.0, 1777636175.0], [1777636176.0, 1777636178.0], [1777636179.0, 1777636179.0], [1777636180.0, 1777636181.0], [1777636182.0, 1777636183.0], [1777636184.0, 1777636185.0], [1777636191.0, 1777636192.0], [1777636194.0, 1777636195.0], [1777636197.0, 1777636197.0], [1777636200.0, 1777636200.0], [1777636202.0, 1777636202.0], [1777636203.0, 1777636204.0], [1777636215.0, 1777636215.0], [1777636216.0, 1777636217.0], [1777636223.0, 1777636224.0]]","[[1777636118.0, 1777636119.0], [1777636137.0, 1777636138.0], [1777636141.0, 1777636141.0], [1777636145.0, 1777636146.0], [1777636148.0, 1777636149.0], [1777636149.0, 1777636150.0], [1777636152.0, 1777636154.0], [1777636154.0, 1777636155.0], [1777636157.0, 1777636158.0], [1777636158.0, 1777636160.0], [1777636161.0, 1777636162.0], [1777636163.0, 1777636164.0], [1777636165.0, 1777636167.0], [1777636169.0, 1777636169.0], [1777636170.0, 1777636172.0], [1777636172.0, 1777636174.0], [1777636175.0, 1777636176.0], [1777636178.0, 1777636179.0], [1777636179.0, 1777636180.0], [1777636181.0, 1777636182.0], [1777636183.0, 1777636184.0], [1777636185.0, 1777636191.0], [1777636192.0, 1777636194.0], [1777636195.0, 1777636197.0], [1777636197.0, 1777636200.0], [1777636200.0, 1777636202.0], [1777636202.0, 1777636203.0], [1777636204.0, 1777636215.0], [1777636215.0, 1777636216.0], [1777636217.0, 1777636223.0]]",1777636345
123,left,1777697908,1777728428,30520,2,"[[1777697908.0, 1777697909.0], [1777697910.0, 1777728428.0]]","[[1777697909.0, 1777697910.0]]",1777728549
124,right,1777697905,1777729609,31704,101,"[[1777697905.0, 1777706890.0], [1777706890.0, 1777720350.0], [1777720353.0, 1777720878.0], [1777720878.0, 1777721363.0], [1777721364.0, 1777722813.0], [1777722813.0, 1777728406.0], [1777728413.0, 1777728414.0], [1777728419.0, 1777729031.0], [1777729032.0, 1777729052.0], [1777729052.0, 1777729081.0], [1777729081.0, 1777729091.0], [1777729091.0, 1777729096.0], [1777729096.0, 1777729098.0], [1777729099.0, 1777729103.0], [1777729104.0, 1777729106.0], [1777729108.0, 1777729111.0], [1777729111.0, 1777729112.0], [1777729113.0, 1777729113.0], [1777729114.0, 1777729114.0], [1777729116.0, 1777729119.0], [1777729119.0, 1777729120.0], [1777729121.0, 1777729124.0], [1777729124.0, 1777729125.0], [1777729126.0, 1777729128.0], [1777729129.0, 1777729135.0], [1777729135.0, 1777729138.0], [1777729138.0, 1777729139.0], [1777729139.0, 1777729140.0], [1777729141.0, 1777729142.0], [1777729143.0, 1777729144.0], [1777729144.0, 1777729147.0], [1777729148.0, 1777729149.0], [1777729149.0, 1777729165.0], [1777729166.0, 1777729171.0], [1777729172.0, 1777729175.0], [1777729176.0, 1777729178.0], [1777729179.0, 1777729180.0], [1777729181.0, 1777729182.0], [1777729183.0, 1777729185.0], [1777729185.0, 1777729186.0], [1777729187.0, 1777729187.0], [1777729188.0, 1777729201.0], [1777729202.0, 1777729207.0], [1777729207.0, 1777729216.0], [1777729217.0, 1777729217.0], [1777729218.0, 1777729219.0], [1777729220.0, 1777729220.0], [1777729221.0, 1777729221.0], [1777729222.0, 1777729224.0], [1777729225.0, 1777729228.0], [1777729229.0, 1777729230.0], [1777729231.0, 1777729232.0], [1777729233.0, 1777729240.0], [1777729240.0, 1777729242.0], [1777729243.0, 1777729249.0], [1777729249.0, 1777729252.0], [1777729252.0, 1777729255.0], [1777729256.0, 1777729258.0], [1777729259.0, 1777729260.0], [1777729260.0, 1777729262.0], [1777729263.0, 1777729263.0], [1777729264.0, 1777729265.0], [1777729265.0, 1777729266.0], [1777729266.0, 1777729267.0], [1777729268.0, 1777729269.0], [1777729269.0, 1777729271.0], [1777729272.0, 1777729276.0], [1777729277.0, 1777729282.0], [1777729282.0, 1777729283.0], [1777729284.0, 1777729285.0], [1777729289.0, 1777729290.0], [1777729291.0, 1777729296.0], [1777729297.0, 1777729302.0], [1777729302.0, 1777729306.0], [1777729306.0, 1777729307.0], [1777729307.0, 1777729308.0], [1777729309.0, 1777729311.0], [1777729312.0, 1777729312.0], [1777729313.0, 1777729314.0], [1777729315.0, 1777729316.0], [1777729317.0, 1777729335.0], [1777729336.0, 1777729336.0], [1777729337.0, 1777729337.0], [1777729338.0, 1777729343.0], [1777729344.0, 1777729345.0], [1777729346.0, 1777729347.0], [1777729350.0, 1777729355.0], [1777729356.0, 1777729357.0], [1777729358.0, 1777729367.0], [1777729368.0, 1777729374.0], [1777729375.0, 1777729376.0], [1777729423.0, 1777729423.0], [1777729452.0, 1777729452.0], [1777729458.0, 1777729459.0], [1777729539.0, 1777729539.0], [1777729583.0, 1777729583.0], [1777729587.0, 1777729587.0], [1777729594.0, 1777729595.0], [1777729601.0, 1777729601.0], [1777729604.0, 1777729605.0], [1777729608.0, 1777729609.0]]","[[1777706890.0, 1777706890.0], [1777720350.0, 1777720353.0], [1777720878.0, 1777720878.0], [1777721363.0, 1777721364.0], [1777722813.0, 1777722813.0], [1777728406.0, 1777728413.0], [1777728414.0, 1777728419.0], [1777729031.0, 1777729032.0], [1777729052.0, 1777729052.0], [1777729081.0, 1777729081.0], [1777729091.0, 1777729091.0], [1777729096.0, 1777729096.0], [1777729098.0, 1777729099.0], [1777729103.0, 1777729104.0], [1777729106.0, 1777729108.0], [1777729111.0, 1777729111.0], [1777729112.0, 1777729113.0], [1777729113.0, 1777729114.0], [1777729114.0, 1777729116.0], [1777729119.0, 1777729119.0], [1777729120.0, 1777729121.0], [1777729124.0, 1777729124.0], [1777729125.0, 1777729126.0], [1777729128.0, 1777729129.0], [1777729135.0, 1777729135.0], [1777729138.0, 1777729138.0], [1777729139.0, 1777729139.0], [1777729140.0, 1777729141.0], [1777729142.0, 1777729143.0], [1777729144.0, 1777729144.0], [1777729147.0, 1777729148.0], [1777729149.0, 1777729149.0], [1777729165.0, 1777729166.0], [1777729171.0, 1777729172.0], [1777729175.0, 1777729176.0], [1777729178.0, 1777729179.0], [1777729180.0, 1777729181.0], [1777729182.0, 1777729183.0], [1777729185.0, 1777729185.0], [1777729186.0, 1777729187.0], [1777729187.0, 1777729188.0], [1777729201.0, 1777729202.0], [1777729207.0, 1777729207.0], [1777729216.0, 1777729217.0], [1777729217.0, 1777729218.0], [1777729219.0, 1777729220.0], [1777729220.0, 1777729221.0], [1777729221.0, 1777729222.0], [1777729224.0, 1777729225.0], [1777729228.0, 1777729229.0], [1777729230.0, 1777729231.0], [1777729232.0, 1777729233.0], [1777729240.0, 1777729240.0], [1777729242.0, 1777729243.0], [1777729249.0, 1777729249.0], [1777729252.0, 1777729252.0], [1777729255.0, 1777729256.0], [1777729258.0, 1777729259.0], [1777729260.0, 1777729260.0], [1777729262.0, 1777729263.0], [1777729263.0, 1777729264.0], [1777729265.0, 1777729265.0], [1777729266.0, 1777729266.0], [1777729267.0, 1777729268.0], [1777729269.0, 1777729269.0], [1777729271.0, 1777729272.0], [1777729276.0, 1777729277.0], [1777729282.0, 1777729282.0], [1777729283.0, 1777729284.0], [1777729285.0, 1777729289.0], [1777729290.0, 1777729291.0], [1777729296.0, 1777729297.0], [1777729302.0, 1777729302.0], [1777729306.0, 1777729306.0], [1777729307.0, 1777729307.0], [1777729308.0, 1777729309.0], [1777729311.0, 1777729312.0], [1777729312.0, 1777729313.0], [1777729314.0, 1777729315.0], [1777729316.0, 1777729317.0], [1777729335.0, 1777729336.0], [1777729336.0, 1777729337.0], [1777729337.0, 1777729338.0], [1777729343.0, 1777729344.0], [1777729345.0, 1777729346.0], [1777729347.0, 1777729350.0], [1777729355.0, 1777729356.0], [1777729357.0, 1777729358.0], [1777729367.0, 1777729368.0], [1777729374.0, 1777729375.0], [1777729376.0, 1777729423.0], [1777729423.0, 1777729452.0], [1777729452.0, 1777729458.0], [1777729459.0, 1777729539.0], [1777729539.0, 1777729583.0], [1777729583.0, 1777729587.0], [1777729587.0, 1777729594.0], [1777729595.0, 1777729601.0], [1777729601.0, 1777729604.0], [1777729605.0, 1777729608.0]]",1777729730
125,left,1777730229,1777730597,368,8,"[[1777730229.0, 1777730231.0], [1777730242.0, 1777730243.0], [1777730294.0, 1777730307.0], [1777730308.0, 1777730328.0], [1777730335.0, 1777730357.0], [1777730357.0, 1777730398.0], [1777730410.0, 1777730596.0], [1777730597.0, 1777730597.0]]","[[1777730231.0, 1777730242.0], [1777730243.0, 1777730294.0], [1777730307.0, 1777730308.0], [1777730328.0, 1777730335.0], [1777730357.0, 1777730357.0], [1777730398.0, 1777730410.0], [1777730596.0, 1777730597.0]]",1777730719
126,right,1777729906,1777732714,2808,8,"[[1777729906.0, 1777729906.0], [1777729910.0, 1777729911.0], [1777729990.0, 1777729990.0], [1777729996.0, 1777729997.0], [1777730005.0, 1777730006.0], [1777730057.0, 1777730058.0], [1777730069.0, 1777732707.0], [1777732710.0, 1777732714.0]]","[[1777729906.0, 1777729910.0], [1777729911.0, 1777729990.0], [1777729990.0, 1777729996.0], [1777729997.0, 1777730005.0], [1777730006.0, 1777730057.0], [1777730058.0, 1777730069.0], [1777732707.0, 1777732710.0]]",1777732835
127,left,1262304023,1777768616,515464593,10,"[[1262304023.0, 1777768602.0], [1777768603.0, 1777768603.0], [1777768604.0, 1777768606.0], [1777768607.0, 1777768607.0], [1777768608.0, 1777768609.0], [1777768609.0, 1777768610.0], [1777768611.0, 1777768611.0], [1777768612.0, 1777768613.0], [1777768614.0, 1777768614.0], [1777768615.0, 1777768616.0]]","[[1777768602.0, 1777768603.0], [1777768603.0, 1777768604.0], [1777768606.0, 1777768607.0], [1777768607.0, 1777768608.0], [1777768609.0, 1777768609.0], [1777768610.0, 1777768611.0], [1777768611.0, 1777768612.0], [1777768613.0, 1777768614.0], [1777768614.0, 1777768615.0]]",1777768736
128,right,1262304023,1777768826,515464803,5,"[[1262304023.0, 1777768795.0], [1777768796.0, 1777768804.0], [1777768804.0, 1777768805.0], [1777768807.0, 1777768808.0], [1777768824.0, 1777768826.0]]","[[1777768795.0, 1777768796.0], [1777768804.0, 1777768804.0], [1777768805.0, 1777768807.0], [1777768808.0, 1777768824.0]]",1777768946
129,right,1777770319,1777771039,720,50,"[[1777770319.0, 1777770438.0], [1777770502.0, 1777770503.0], [1777770503.0, 1777770532.0], [1777770532.0, 1777770533.0], [1777770534.0, 1777770535.0], [1777770539.0, 1777770539.0], [1777770560.0, 1777770561.0], [1777770657.0, 1777770657.0], [1777770659.0, 1777770660.0], [1777770661.0, 1777770661.0], [1777770663.0, 1777770664.0], [1777770665.0, 1777770666.0], [1777770667.0, 1777770673.0], [1777770673.0, 1777770674.0], [1777770675.0, 1777770678.0], [1777770679.0, 1777770680.0], [1777770680.0, 1777770681.0], [1777770681.0, 1777770683.0], [1777770684.0, 1777770684.0], [1777770685.0, 1777770685.0], [1777770686.0, 1777770691.0], [1777770693.0, 1777770695.0], [1777770695.0, 1777770707.0], [1777770708.0, 1777770709.0], [1777770710.0, 1777770710.0], [1777770711.0, 1777770714.0], [1777770714.0, 1777770716.0], [1777770716.0, 1777770717.0], [1777770718.0, 1777770722.0], [1777770722.0, 1777770733.0], [1777770734.0, 1777770736.0], [1777770737.0, 1777770749.0], [1777770750.0, 1777770754.0], [1777770755.0, 1777770756.0], [1777770757.0, 1777770766.0], [1777770766.0, 1777770769.0], [1777770769.0, 1777770775.0], [1777770775.0, 1777770776.0], [1777770777.0, 1777770787.0], [1777770788.0, 1777770789.0], [1777770789.0, 1777770794.0], [1777770795.0, 1777770807.0], [1777770807.0, 1777770808.0], [1777770808.0, 1777770837.0], [1777770838.0, 1777770838.0], [1777770839.0, 1777770841.0], [1777770842.0, 1777770864.0], [1777770865.0, 1777770874.0], [1777770874.0, 1777770902.0], [1777770902.0, 1777771039.0]]","[[1777770438.0, 1777770502.0], [1777770503.0, 1777770503.0], [1777770532.0, 1777770532.0], [1777770533.0, 1777770534.0], [1777770535.0, 1777770539.0], [1777770539.0, 1777770560.0], [1777770561.0, 1777770657.0], [1777770657.0, 1777770659.0], [1777770660.0, 1777770661.0], [1777770661.0, 1777770663.0], [1777770664.0, 1777770665.0], [1777770666.0, 1777770667.0], [1777770673.0, 1777770673.0], [1777770674.0, 1777770675.0], [1777770678.0, 1777770679.0], [1777770680.0, 1777770680.0], [1777770681.0, 1777770681.0], [1777770683.0, 1777770684.0], [1777770684.0, 1777770685.0], [1777770685.0, 1777770686.0], [1777770691.0, 1777770693.0], [1777770695.0, 1777770695.0], [1777770707.0, 1777770708.0], [1777770709.0, 1777770710.0], [1777770710.0, 1777770711.0], [1777770714.0, 1777770714.0], [1777770716.0, 1777770716.0], [1777770717.0, 1777770718.0], [1777770722.0, 1777770722.0], [1777770733.0, 1777770734.0], [1777770736.0, 1777770737.0], [1777770749.0, 1777770750.0], [1777770754.0, 1777770755.0], [1777770756.0, 1777770757.0], [1777770766.0, 1777770766.0], [1777770769.0, 1777770769.0], [1777770775.0, 1777770775.0], [1777770776.0, 1777770777.0], [1777770787.0, 1777770788.0], [1777770789.0, 1777770789.0], [1777770794.0, 1777770795.0], [1777770807.0, 1777770807.0], [1777770808.0, 1777770808.0], [1777770837.0, 1777770838.0], [1777770838.0, 1777770839.0], [1777770841.0, 1777770842.0], [1777770864.0, 1777770865.0], [1777770874.0, 1777770874.0], [1777770902.0, 1777770902.0]]",1777771159
130,left,1777768825,1777771040,2215,117,"[[1777768825.0, 1777770073.0], [1777770074.0, 1777770197.0], [1777770201.0, 1777770202.0], [1777770202.0, 1777770203.0], [1777770203.0, 1777770205.0], [1777770220.0, 1777770221.0], [1777770235.0, 1777770236.0], [1777770240.0, 1777770240.0], [1777770248.0, 1777770249.0], [1777770249.0, 1777770250.0], [1777770264.0, 1777770265.0], [1777770279.0, 1777770280.0], [1777770283.0, 1777770283.0], [1777770289.0, 1777770289.0], [1777770316.0, 1777770316.0], [1777770318.0, 1777770442.0], [1777770442.0, 1777770447.0], [1777770448.0, 1777770449.0], [1777770450.0, 1777770450.0], [1777770453.0, 1777770453.0], [1777770461.0, 1777770461.0], [1777770499.0, 1777770499.0], [1777770500.0, 1777770505.0], [1777770513.0, 1777770514.0], [1777770517.0, 1777770517.0], [1777770519.0, 1777770520.0], [1777770521.0, 1777770521.0], [1777770525.0, 1777770526.0], [1777770543.0, 1777770543.0], [1777770552.0, 1777770553.0], [1777770561.0, 1777770562.0], [1777770563.0, 1777770563.0], [1777770564.0, 1777770564.0], [1777770573.0, 1777770573.0], [1777770576.0, 1777770576.0], [1777770577.0, 1777770578.0], [1777770585.0, 1777770587.0], [1777770587.0, 1777770588.0], [1777770588.0, 1777770589.0], [1777770591.0, 1777770591.0], [1777770599.0, 1777770599.0], [1777770600.0, 1777770601.0], [1777770602.0, 1777770603.0], [1777770605.0, 1777770606.0], [1777770606.0, 1777770607.0], [1777770612.0, 1777770613.0], [1777770622.0, 1777770623.0], [1777770626.0, 1777770626.0], [1777770640.0, 1777770640.0], [1777770647.0, 1777770649.0], [1777770650.0, 1777770650.0], [1777770653.0, 1777770654.0], [1777770655.0, 1777770656.0], [1777770657.0, 1777770658.0], [1777770658.0, 1777770659.0], [1777770660.0, 1777770661.0], [1777770663.0, 1777770664.0], [1777770665.0, 1777770670.0], [1777770671.0, 1777770671.0], [1777770673.0, 1777770674.0], [1777770675.0, 1777770675.0], [1777770676.0, 1777770678.0], [1777770679.0, 1777770680.0], [1777770681.0, 1777770682.0], [1777770682.0, 1777770685.0], [1777770686.0, 1777770688.0], [1777770689.0, 1777770690.0], [1777770691.0, 1777770693.0], [1777770696.0, 1777770697.0], [1777770697.0, 1777770701.0], [1777770702.0, 1777770703.0], [1777770704.0, 1777770706.0], [1777770706.0, 1777770709.0], [1777770710.0, 1777770711.0], [1777770715.0, 1777770717.0], [1777770719.0, 1777770721.0], [1777770723.0, 1777770726.0], [1777770728.0, 1777770732.0], [1777770733.0, 1777770734.0], [1777770735.0, 1777770736.0], [1777770736.0, 1777770738.0], [1777770739.0, 1777770741.0], [1777770741.0, 1777770745.0], [1777770746.0, 1777770747.0], [1777770747.0, 1777770749.0], [1777770750.0, 1777770751.0], [1777770753.0, 1777770754.0], [1777770754.0, 1777770759.0], [1777770759.0, 1777770760.0], [1777770761.0, 1777770762.0], [1777770762.0, 1777770764.0], [1777770765.0, 1777770768.0], [1777770769.0, 1777770771.0], [1777770772.0, 1777770772.0], [1777770774.0, 1777770775.0], [1777770775.0, 1777770781.0], [1777770782.0, 1777770787.0], [1777770787.0, 1777770789.0], [1777770789.0, 1777770790.0], [1777770790.0, 1777770792.0], [1777770793.0, 1777770794.0], [1777770795.0, 1777770797.0], [1777770798.0, 1777770798.0], [1777770799.0, 1777770800.0], [1777770801.0, 1777770804.0], [1777770805.0, 1777770807.0], [1777770809.0, 1777770816.0], [1777770817.0, 1777770817.0], [1777770818.0, 1777770830.0], [1777770831.0, 1777770831.0], [1777770832.0, 1777770845.0], [1777770846.0, 1777770867.0], [1777770867.0, 1777770871.0], [1777770872.0, 1777770880.0], [1777770881.0, 1777770885.0], [1777770885.0, 1777771039.0], [1777771040.0, 1777771040.0]]","[[1777770073.0, 1777770074.0], [1777770197.0, 1777770201.0], [1777770202.0, 1777770202.0], [1777770203.0, 1777770203.0], [1777770205.0, 1777770220.0], [1777770221.0, 1777770235.0], [1777770236.0, 1777770240.0], [1777770240.0, 1777770248.0], [1777770249.0, 1777770249.0], [1777770250.0, 1777770264.0], [1777770265.0, 1777770279.0], [1777770280.0, 1777770283.0], [1777770283.0, 1777770289.0], [1777770289.0, 1777770316.0], [1777770316.0, 1777770318.0], [1777770442.0, 1777770442.0], [1777770447.0, 1777770448.0], [1777770449.0, 1777770450.0], [1777770450.0, 1777770453.0], [1777770453.0, 1777770461.0], [1777770461.0, 1777770499.0], [1777770499.0, 1777770500.0], [1777770505.0, 1777770513.0], [1777770514.0, 1777770517.0], [1777770517.0, 1777770519.0], [1777770520.0, 1777770521.0], [1777770521.0, 1777770525.0], [1777770526.0, 1777770543.0], [1777770543.0, 1777770552.0], [1777770553.0, 1777770561.0], [1777770562.0, 1777770563.0], [1777770563.0, 1777770564.0], [1777770564.0, 1777770573.0], [1777770573.0, 1777770576.0], [1777770576.0, 1777770577.0], [1777770578.0, 1777770585.0], [1777770587.0, 1777770587.0], [1777770588.0, 1777770588.0], [1777770589.0, 1777770591.0], [1777770591.0, 1777770599.0], [1777770599.0, 1777770600.0], [1777770601.0, 1777770602.0], [1777770603.0, 1777770605.0], [1777770606.0, 1777770606.0], [1777770607.0, 1777770612.0], [1777770613.0, 1777770622.0], [1777770623.0, 1777770626.0], [1777770626.0, 1777770640.0], [1777770640.0, 1777770647.0], [1777770649.0, 1777770650.0], [1777770650.0, 1777770653.0], [1777770654.0, 1777770655.0], [1777770656.0, 1777770657.0], [1777770658.0, 1777770658.0], [1777770659.0, 1777770660.0], [1777770661.0, 1777770663.0], [1777770664.0, 1777770665.0], [1777770670.0, 1777770671.0], [1777770671.0, 1777770673.0], [1777770674.0, 1777770675.0], [1777770675.0, 1777770676.0], [1777770678.0, 1777770679.0], [1777770680.0, 1777770681.0], [1777770682.0, 1777770682.0], [1777770685.0, 1777770686.0], [1777770688.0, 1777770689.0], [1777770690.0, 1777770691.0], [1777770693.0, 1777770696.0], [1777770697.0, 1777770697.0], [1777770701.0, 1777770702.0], [1777770703.0, 1777770704.0], [1777770706.0, 1777770706.0], [1777770709.0, 1777770710.0], [1777770711.0, 1777770715.0], [1777770717.0, 1777770719.0], [1777770721.0, 1777770723.0], [1777770726.0, 1777770728.0], [1777770732.0, 1777770733.0], [1777770734.0, 1777770735.0], [1777770736.0, 1777770736.0], [1777770738.0, 1777770739.0], [1777770741.0, 1777770741.0], [1777770745.0, 1777770746.0], [1777770747.0, 1777770747.0], [1777770749.0, 1777770750.0], [1777770751.0, 1777770753.0], [1777770754.0, 1777770754.0], [1777770759.0, 1777770759.0], [1777770760.0, 1777770761.0], [1777770762.0, 1777770762.0], [1777770764.0, 1777770765.0], [1777770768.0, 1777770769.0], [1777770771.0, 1777770772.0], [1777770772.0, 1777770774.0], [1777770775.0, 1777770775.0], [1777770781.0, 1777770782.0], [1777770787.0, 1777770787.0], [1777770789.0, 1777770789.0], [1777770790.0, 1777770790.0], [1777770792.0, 1777770793.0], [1777770794.0, 1777770795.0], [1777770797.0, 1777770798.0], [1777770798.0, 1777770799.0], [1777770800.0, 1777770801.0], [1777770804.0, 1777770805.0], [1777770807.0, 1777770809.0], [1777770816.0, 1777770817.0], [1777770817.0, 1777770818.0], [1777770830.0, 1777770831.0], [1777770831.0, 1777770832.0], [1777770845.0, 1777770846.0], [1777770867.0, 1777770867.0], [1777770871.0, 1777770872.0], [1777770880.0, 1777770881.0], [1777770885.0, 1777770885.0], [1777771039.0, 1777771040.0]]",1777771160
131,right,1777771224,1777771640,416,1,"[[1777771224.0, 1777771640.0]]",[],1777771759
132,right,1777771762,1777772484,722,2,"[[1777771762.0, 1777771883.0], [1777771944.0, 1777772484.0]]","[[1777771883.0, 1777771944.0]]",1777772604
133,right,1777772665,1777773084,419,1,"[[1777772665.0, 1777773084.0]]",[],1777773205
134,right,1777773206,1777773928,722,2,"[[1777773206.0, 1777773331.0], [1777773386.0, 1777773928.0]]","[[1777773331.0, 1777773386.0]]",1777774048
135,right,1777777136,1777777621,485,2,"[[1777777136.0, 1777777476.0], [1777777477.0, 1777777621.0]]","[[1777777476.0, 1777777477.0]]",1777777741
136,right,1777780976,1777814630,33654,43,"[[1777780976.0, 1777780977.0], [1777780978.0, 1777780979.0], [1777780980.0, 1777787705.0], [1777787706.0, 1777787711.0], [1777787712.0, 1777788971.0], [1777788972.0, 1777795255.0], [1777795255.0, 1777801081.0], [1777801082.0, 1777802086.0], [1777802087.0, 1777802099.0], [1777802100.0, 1777802101.0], [1777802109.0, 1777802110.0], [1777802111.0, 1777802112.0], [1777802113.0, 1777802114.0], [1777802114.0, 1777802118.0], [1777802119.0, 1777802130.0], [1777802132.0, 1777802375.0], [1777802376.0, 1777802403.0], [1777802403.0, 1777802430.0], [1777802431.0, 1777802479.0], [1777802480.0, 1777802542.0], [1777802542.0, 1777802544.0], [1777802545.0, 1777802553.0], [1777802553.0, 1777802566.0], [1777802567.0, 1777802581.0], [1777802581.0, 1777802584.0], [1777802586.0, 1777802586.0], [1777802588.0, 1777803208.0], [1777803209.0, 1777804051.0], [1777804052.0, 1777805096.0], [1777805097.0, 1777806157.0], [1777806157.0, 1777807511.0], [1777807512.0, 1777807513.0], [1777807516.0, 1777807519.0], [1777807528.0, 1777807530.0], [1777807531.0, 1777807537.0], [1777807541.0, 1777807572.0], [1777807573.0, 1777807667.0], [1777807668.0, 1777807684.0], [1777807685.0, 1777807700.0], [1777807701.0, 1777807761.0], [1777807762.0, 1777811775.0], [1777811776.0, 1777814627.0], [1777814628.0, 1777814630.0]]","[[1777780977.0, 1777780978.0], [1777780979.0, 1777780980.0], [1777787705.0, 1777787706.0], [1777787711.0, 1777787712.0], [1777788971.0, 1777788972.0], [1777795255.0, 1777795255.0], [1777801081.0, 1777801082.0], [1777802086.0, 1777802087.0], [1777802099.0, 1777802100.0], [1777802101.0, 1777802109.0], [1777802110.0, 1777802111.0], [1777802112.0, 1777802113.0], [1777802114.0, 1777802114.0], [1777802118.0, 1777802119.0], [1777802130.0, 1777802132.0], [1777802375.0, 1777802376.0], [1777802403.0, 1777802403.0], [1777802430.0, 1777802431.0], [1777802479.0, 1777802480.0], [1777802542.0, 1777802542.0], [1777802544.0, 1777802545.0], [1777802553.0, 1777802553.0], [1777802566.0, 1777802567.0], [1777802581.0, 1777802581.0], [1777802584.0, 1777802586.0], [1777802586.0, 1777802588.0], [1777803208.0, 1777803209.0], [1777804051.0, 1777804052.0], [1777805096.0, 1777805097.0], [1777806157.0, 1777806157.0], [1777807511.0, 1777807512.0], [1777807513.0, 1777807516.0], [1777807519.0, 1777807528.0], [1777807530.0, 1777807531.0], [1777807537.0, 1777807541.0], [1777807572.0, 1777807573.0], [1777807667.0, 1777807668.0], [1777807684.0, 1777807685.0], [1777807700.0, 1777807701.0], [1777807761.0, 1777807762.0], [1777811775.0, 1777811776.0], [1777814627.0, 1777814628.0]]",1777814750
