id,side,timestamp,heart_rate,hrv,breathing_rate
1491,right,1777518640,61.09979633401222,,16.135341286915704
1492,right,1777518700,58.36575875486381,,18.353804884935762
1493,right,1777518760,49.504950495049506,,18.90279761404688
1494,left,1777518785,59.7609561752988,66.93094285239908,20.346865613797114
1495,left,1777518845,68.02721088435374,75.09697434354833,19.398273173329276
1496,left,1777518906,57.915057915057915,,15.35817457125096
1497,left,1777518967,50.08347245409015,,17.6678445229682
1498,left,1777519027,41.78272980501393,,16.55933762649494
1499,left,1777519087,,,19.749835418038185
1500,left,1777519147,69.76744186046511,,15.200868621064059
1501,left,1777519208,72.99270072992701,,13.165769000598445
1502,left,1777519268,61.855670103092784,68.48509027741991,19.279476807923484
1503,left,1777519329,53.57142857142857,24.30789160236095,16.989466530750935
1504,right,1777519382,57.361376673040155,62.87106147004654,18.084999497638904
1505,left,1777519390,57.25190839694657,99.20644104533184,19.475920679886684
1506,right,1777519442,40.98360655737705,67.53193463166603,19.77494232308489
1507,left,1777519450,,95.59952625568779,17.04787611876687
1508,right,1777519503,46.58385093167702,,18.308443423319932
1509,left,1777519570,68.80733944954129,84.90383489394468,18.89644746787604
1510,right,1777519574,64.23982869379014,59.26950512971223,18.286178696601823
1511,left,1777519630,77.12082262210797,47.46012420087701,19.59595017029814
1512,right,1777519635,75.56675062972292,78.44968413688146,17.096265123619148
1513,left,1777519691,60.97560975609756,78.30994165575345,15.580368735393405
1514,right,1777519696,60.97560975609756,98.15295166442503,17.974835230677048
1515,right,1777519756,40.98360655737705,98.28971162172328,16.00142234865321
1516,left,1777519766,81.52173913043478,60.794062456306,16.284233900814215
1517,right,1777519817,,81.26026317223854,18.51939788214065
1518,left,1777519827,68.02721088435374,86.81800273237671,18.083182640144663
1519,right,1777519877,70.58823529411765,65.85826495555658,17.520805957074025
1520,left,1777519887,71.94244604316546,79.07003166589939,10.383017997231194
1521,left,1777520277,79.36507936507937,68.28352380882767,19.29467252653017
1522,left,1777520338,,49.678807129362575,12.225844694724362
1523,left,1777520398,,99.63106852977423,16.32801161103048
1524,left,1777520521,49.26108374384236,78.01392238139462,16.61374880011814
1525,left,1777520581,73.17073170731707,88.11381681576738,17.510579308332115
1526,left,1777520641,77.51937984496124,91.60861260327779,20.532319391634978
1527,left,1777521226,63.69426751592356,,18.69314169401404
1528,left,1777521287,48.78048780487805,22.230200587979816,18.82809379814001
1529,left,1777521348,50.08347245409015,59.8562380272034,19.766101136550816
1530,right,1777521497,51.724137931034484,90.51083943480165,15.915886948972704
1531,right,1777521558,47.92332268370607,61.68002473323207,21.783616080269326
1532,right,1777521619,50.67567567567568,26.522065141545514,17.48251748251748
1533,left,1777523795,69.76744186046511,,16.325049882096863
1534,right,1777523797,70.09345794392523,,11.424219345011423
1535,left,1777523856,55.248618784530386,,20.17067494181536
1536,right,1777523858,57.69230769230769,90.39101696359224,19.125478136953426
1537,left,1777523917,74.25742574257426,13.744311092644706,19.32257331211639
1538,right,1777523918,73.89162561576354,64.81268628402135,18.330513254371123
1539,right,1777523978,50.67567567567568,57.67422220652809,16.18821497949493
1540,right,1777524038,51.19453924914676,96.75484483993553,18.55552383671139
1541,right,1777524099,,65.27454847899791,20.763939957606954
1542,left,1777527518,77.72020725388602,38.685780612089125,21.35231316725979
1543,left,1777527578,59.171597633136095,,19.165927240461404
1544,left,1777527638,,,18.375315825740756
1545,left,1777529097,61.98347107438016,72.36561988944321,18.46559683446911
1546,left,1777529157,78.53403141361257,,19.74983541803818
1547,left,1777529218,49.504950495049506,21.121764693286714,23.289342353332593
1548,left,1777534913,90.36144578313252,43.494629330550154,18.995070326986568
1549,left,1777534973,,82.79287174626175,23.24333988914715
1550,left,1777535034,,87.57326089276232,17.558234812126887
1551,left,1777535312,85.71428571428571,45.46163739085655,16.783643576441868
1552,left,1777535372,,77.2011090622792,18.76485551061257
1553,left,1777535432,60.851926977687626,82.45856316508015,19.128800590643667
1554,left,1777542534,60.851926977687626,82.46679333607078,16.4726553920492
1555,left,1777542594,,25.19369258394505,12.821121610712757
1556,left,1777542655,,20.8806130178211,17.552841366196155
1557,left,1777544991,99.00990099009901,69.78341714649675,16.6766441460703
1558,left,1777545051,,,19.256279686764515
1559,left,1777545112,55.65862708719852,84.16270046541348,18.40867253016977
1560,left,1777545554,59.7609561752988,82.21713237460246,17.767249037607346
1561,left,1777545614,60.97560975609756,37.61715307889895,18.153044125861108
1562,left,1777545674,,,21.389284986759012
1563,left,1777546655,78.53403141361257,40.5897697919649,13.266704992703312
1564,right,1777546656,78.53403141361257,72.65749177552932,14.830072090628217
1565,left,1777546715,62.11180124223603,53.5670474399007,18.883455188108265
1566,right,1777546717,73.52941176470588,52.494978657538724,15.26070368800339
1567,left,1777546776,73.34963325183374,41.87258209512678,11.286681715575622
1568,right,1777546778,72.63922518159806,68.1814188936615,18.963337547408347
1569,left,1777547028,52.816901408450704,76.84872943493468,12.535612535612536
1570,left,1777547090,56.60377358490566,57.33484063479451,17.334360554699536
1571,left,1777547151,79.57559681697613,40.36301499818038,10.889731386625796
1572,left,1777548231,51.54639175257732,91.06520024277474,20.041992746707383
1573,left,1777548291,71.77033492822966,75.39258441899388,20.2309702436146
1574,left,1777548351,48.0,69.88595938556425,11.507479861910241
1575,left,1777548632,67.72009029345372,14.563849395405645,16.799328026878925
1576,left,1777548693,80.0,95.99884258561546,18.32844574780059
1577,left,1777548754,59.171597633136095,93.18395784683112,18.298261665141812
1578,right,1777577753,62.76150627615063,,17.839887014048912
1579,right,1777577814,80.0,,18.33900969347655
1580,right,1777577874,74.6268656716418,93.71161915437291,15.868118305637593
1581,right,1777577935,70.4225352112676,64.81021009638006,19.844082211197733
1582,right,1777577996,80.0,85.19939670013886,19.204254480992713
1583,right,1777578057,51.45797598627787,40.827046631191855,19.97126940191304
1584,right,1777578117,79.57559681697613,76.98374329705034,25.101601721252692
1585,right,1777578177,75.56675062972292,98.7896530794372,17.17580664949086
1586,right,1777578238,50.5902192242833,81.8702381020358,21.876519202722413
1587,right,1777590110,59.523809523809526,,18.573145416803232
1588,right,1777590170,51.81347150259067,65.09702418342147,21.06741573033708
1589,right,1777590230,97.40259740259741,,16.19928723136182
1590,right,1777609541,,42.02231935392854,20.663744520976834
1591,right,1777609602,85.95988538681948,96.53879958983332,20.07515313738611
1592,right,1777609663,71.94244604316546,77.10207387211969,15.790752287634628
1593,left,1777613154,,,18.202042673677823
1594,left,1777613215,49.26108374384236,23.389867200639543,17.802041300735816
1595,left,1777613275,,80.37685727931692,15.982951518380393
1596,left,1777621716,46.2962962962963,42.38746094062655,19.115772963434956
1597,left,1777621776,51.02040816326531,,18.92744479495268
1598,left,1777621837,79.7872340425532,,17.691287041132245
1599,left,1777622862,49.66887417218543,,17.982671244073895
1600,left,1777622923,67.56756756756756,,18.14772246083117
1601,left,1777622984,69.28406466512702,74.28238601656997,20.498337357081034
1602,left,1777628837,75.9493670886076,60.76033107750042,18.920098966671517
1603,left,1777628897,67.26457399103138,,11.80130887243858
1604,left,1777628958,,,17.790956263899183
1605,left,1777629078,54.54545454545455,9.406635110434827,12.304158805676318
1606,left,1777629138,67.41573033707866,,16.264169541646133
1607,right,1777629174,80.86253369272237,45.9859009525719,19.13003871555454
1608,left,1777629199,,,15.90246488205672
1609,right,1777629235,103.27022375215147,62.89883294211627,18.86199308393587
1610,right,1777629295,78.3289817232376,24.88124626432657,19.539730785931397
1611,left,1777629556,46.15384615384615,72.33302042374144,23.554603854389725
1612,right,1777629557,92.02453987730061,8.197370314495135,22.1825127857539
1613,left,1777629616,62.893081761006286,,17.109452972767457
1614,right,1777629617,62.76150627615063,74.93196914535211,17.84180268287848
1615,left,1777629677,,18.01007261025762,16.609456317129887
1616,right,1777629677,,15.973960061601744,20.144367970454926
1617,left,1777629742,80.21390374331551,,16.483516483516482
1618,left,1777629803,,,19.997647335607578
1619,left,1777629864,48.85993485342019,,20.761245674740483
1620,left,1777629924,,89.5221108628105,18.704138890221095
1621,left,1777632243,76.33587786259542,,14.349947383526262
1622,left,1777632303,62.5,96.74430151974435,18.473718935561912
1623,left,1777632363,68.3371298405467,,17.17413860961036
1624,left,1777633031,67.41573033707866,,15.573291804555186
