endDate,startDate,type,value
2023-04-17 04:07:46 -0400,2023-04-17 04:00:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 04:07:46 -0400,2023-04-17 04:00:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 04:10:16 -0400,2023-04-17 04:07:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2023-04-17 04:38:16 -0400,2023-04-17 04:10:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 04:38:16 -0400,2023-04-17 04:10:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 04:38:46 -0400,2023-04-17 04:38:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2023-04-17 05:13:46 -0400,2023-04-17 04:38:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 05:22:46 -0400,2023-04-17 05:13:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2023-04-17 05:31:46 -0400,2023-04-17 05:22:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 05:40:16 -0400,2023-04-17 05:31:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2023-04-17 05:46:16 -0400,2023-04-17 05:40:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 05:51:46 -0400,2023-04-17 05:46:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2023-04-17 06:03:16 -0400,2023-04-17 05:51:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 06:15:46 -0400,2023-04-17 06:03:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2023-04-17 06:51:16 -0400,2023-04-17 06:15:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 06:52:46 -0400,2023-04-17 06:51:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2023-04-17 06:55:16 -0400,2023-04-17 06:52:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 07:15:16 -0400,2023-04-17 06:55:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2023-04-17 07:19:16 -0400,2023-04-17 07:15:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 07:20:16 -0400,2023-04-17 07:19:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2023-04-17 08:00:43 -0400,2023-04-17 01:36:07 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 08:03:16 -0400,2023-04-17 07:20:16 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2023-04-17 08:03:16 -0400,2023-04-17 04:38:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 23:59:10 -0400,2023-04-17 23:59:09 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 00:05:23 -0400,2024-04-16 23:59:15 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 00:19:07 -0400,2024-04-17 00:05:28 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 00:33:49 -0400,2024-04-17 00:19:14 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 00:37:09 -0400,2024-04-17 00:33:51 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 00:37:42 -0400,2024-04-17 00:37:14 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 00:38:13 -0400,2024-04-17 00:37:43 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 00:40:18 -0400,2024-04-17 00:38:30 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 01:37:25 -0400,2024-04-17 01:22:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 02:06:25 -0400,2024-04-17 01:37:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2024-04-17 02:06:25 -0400,2024-04-17 01:22:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 02:06:55 -0400,2024-04-17 02:06:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2024-04-17 02:29:55 -0400,2024-04-17 02:06:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 02:39:55 -0400,2024-04-17 02:29:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2024-04-17 02:39:55 -0400,2024-04-17 02:06:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 02:40:55 -0400,2024-04-17 02:39:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2024-04-17 02:53:25 -0400,2024-04-17 02:40:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 02:58:55 -0400,2024-04-17 02:53:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2024-04-17 03:23:25 -0400,2024-04-17 02:58:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 03:23:25 -0400,2024-04-17 02:40:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 03:25:25 -0400,2024-04-17 03:23:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2024-04-17 03:35:55 -0400,2024-04-17 03:25:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 03:35:55 -0400,2024-04-17 03:25:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 03:37:55 -0400,2024-04-17 03:35:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2024-04-17 03:43:55 -0400,2024-04-17 03:37:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 03:55:25 -0400,2024-04-17 03:43:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2024-04-17 03:55:25 -0400,2024-04-17 03:37:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 03:55:55 -0400,2024-04-17 03:55:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2024-04-17 03:56:25 -0400,2024-04-17 03:55:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 04:06:25 -0400,2024-04-17 03:56:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2024-04-17 04:30:25 -0400,2024-04-17 04:06:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 04:53:25 -0400,2024-04-17 04:30:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2024-04-17 04:53:55 -0400,2024-04-17 04:53:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2024-04-17 04:53:55 -0400,2024-04-17 03:55:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2024-04-17 04:54:55 -0400,2024-04-17 04:53:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
