endDate,startDate,type,unit,value
2022-04-17 04:49:06 -0400,2022-04-17 04:49:06 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 04:52:09 -0400,2022-04-17 04:52:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 04:57:14 -0400,2022-04-17 04:57:14 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
2022-04-17 05:04:43 -0400,2022-04-17 05:04:43 -0400,HKQuantityTypeIdentifierHeartRate,count/min,49
2022-04-17 05:11:30 -0400,2022-04-17 05:11:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 05:13:53 -0400,2022-04-17 05:13:53 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 05:17:48 -0400,2022-04-17 05:17:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 05:22:49 -0400,2022-04-17 05:22:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2022-04-17 05:27:32 -0400,2022-04-17 05:27:32 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2022-04-17 05:32:29 -0400,2022-04-17 05:32:29 -0400,HKQuantityTypeIdentifierHeartRate,count/min,61
2022-04-17 05:40:56 -0400,2022-04-17 05:40:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 05:45:52 -0400,2022-04-17 05:45:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,61
2022-04-17 05:43:21 -0400,2022-04-17 05:43:21 -0400,HKQuantityTypeIdentifierHeartRate,count/min,62
2022-04-17 05:47:50 -0400,2022-04-17 05:47:50 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 05:52:11 -0400,2022-04-17 05:52:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,64
2022-04-17 06:00:30 -0400,2022-04-17 06:00:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
2022-04-17 06:02:16 -0400,2022-04-17 06:02:16 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 06:10:03 -0400,2022-04-17 06:10:03 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 06:15:40 -0400,2022-04-17 06:15:40 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 06:18:09 -0400,2022-04-17 06:18:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,65
2022-04-17 06:26:28 -0400,2022-04-17 06:26:28 -0400,HKQuantityTypeIdentifierHeartRate,count/min,64
2022-04-17 06:28:51 -0400,2022-04-17 06:28:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 06:36:12 -0400,2022-04-17 06:36:12 -0400,HKQuantityTypeIdentifierHeartRate,count/min,61
2022-04-17 06:42:12 -0400,2022-04-17 06:42:12 -0400,HKQuantityTypeIdentifierHeartRate,count/min,67
2022-04-17 06:38:24 -0400,2022-04-17 06:38:24 -0400,HKQuantityTypeIdentifierHeartRate,count/min,50
2022-04-17 06:42:12 -0400,2022-04-17 06:42:12 -0400,HKQuantityTypeIdentifierHeartRate,count/min,65
2022-04-17 06:49:13 -0400,2022-04-17 06:49:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 06:55:20 -0400,2022-04-17 06:55:20 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 06:58:26 -0400,2022-04-17 06:58:26 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 07:03:26 -0400,2022-04-17 07:03:26 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 07:08:59 -0400,2022-04-17 07:08:59 -0400,HKQuantityTypeIdentifierHeartRate,count/min,64
2022-04-17 07:14:17 -0400,2022-04-17 07:14:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,61
2022-04-17 07:20:09 -0400,2022-04-17 07:20:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 07:23:47 -0400,2022-04-17 07:23:47 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2022-04-17 07:27:49 -0400,2022-04-17 07:27:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2022-04-17 07:33:09 -0400,2022-04-17 07:33:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2022-04-17 07:42:13 -0400,2022-04-17 07:42:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,61
2022-04-17 07:37:21 -0400,2022-04-17 07:37:21 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2022-04-17 07:43:27 -0400,2022-04-17 07:43:27 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2022-04-17 07:47:03 -0400,2022-04-17 07:47:03 -0400,HKQuantityTypeIdentifierHeartRate,count/min,68
2022-04-17 07:55:17 -0400,2022-04-17 07:55:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 07:59:36 -0400,2022-04-17 07:59:36 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 08:02:05 -0400,2022-04-17 08:02:05 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 08:11:12 -0400,2022-04-17 08:11:12 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 08:14:54 -0400,2022-04-17 08:14:54 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 08:17:20 -0400,2022-04-17 08:17:20 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 08:24:30 -0400,2022-04-17 08:24:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 08:35:53 -0400,2022-04-17 08:35:53 -0400,HKQuantityTypeIdentifierHeartRate,count/min,105
2022-04-17 08:46:49 -0400,2022-04-17 08:46:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,115
2022-04-17 08:27:20 -0400,2022-04-17 08:27:20 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 08:50:54 -0400,2022-04-17 08:50:54 -0400,HKQuantityTypeIdentifierHeartRate,count/min,91
2022-04-17 08:52:44 -0400,2022-04-17 08:52:44 -0400,HKQuantityTypeIdentifierHeartRate,count/min,75
2022-04-17 09:06:40 -0400,2022-04-17 09:06:40 -0400,HKQuantityTypeIdentifierHeartRate,count/min,83
2022-04-17 09:09:41 -0400,2022-04-17 09:09:41 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2022-04-17 09:13:09 -0400,2022-04-17 09:13:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2022-04-17 09:31:15 -0400,2022-04-17 09:31:15 -0400,HKQuantityTypeIdentifierHeartRate,count/min,96
2022-04-17 09:39:27 -0400,2022-04-17 09:39:27 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2022-04-17 09:35:19 -0400,2022-04-17 09:35:19 -0400,HKQuantityTypeIdentifierHeartRate,count/min,98
2022-04-17 09:39:21 -0400,2022-04-17 09:39:21 -0400,HKQuantityTypeIdentifierHeartRate,count/min,75.8775
2022-04-17 09:38:51 -0400,2022-04-17 09:38:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,78
2022-04-17 09:45:17 -0400,2022-04-17 09:45:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,79
2022-04-17 09:48:23 -0400,2022-04-17 09:48:23 -0400,HKQuantityTypeIdentifierHeartRate,count/min,75
2022-04-17 09:54:34 -0400,2022-04-17 09:54:34 -0400,HKQuantityTypeIdentifierHeartRate,count/min,94
