endDate,startDate,type,unit,value
2022-04-17 18:23:45 -0400,2022-04-17 00:54:58 -0400,HKQuantityTypeIdentifierRestingHeartRate,count/min,65
2023-04-17 19:01:19 -0400,2023-04-17 00:03:24 -0400,HKQuantityTypeIdentifierRestingHeartRate,count/min,71
2024-04-17 21:35:42 -0400,2024-04-17 00:04:37 -0400,HKQuantityTypeIdentifierRestingHeartRate,count/min,74
2025-04-17 13:17:03 -0400,2025-04-17 00:00:47 -0400,HKQuantityTypeIdentifierRestingHeartRate,count/min,85
2026-04-17 23:56:46 -0400,2026-04-17 00:00:09 -0400,HKQuantityTypeIdentifierRestingHeartRate,count/min,84
