endDate,startDate,type,unit,value
2026-04-27 22:07:33 -0400,2026-04-27 22:07:33 -0400,HKQuantityTypeIdentifierHeartRate,count/min,78.3572
2026-04-27 22:07:58 -0400,2026-04-27 22:07:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2026-04-27 22:14:32 -0400,2026-04-27 22:14:32 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2026-04-27 22:22:07 -0400,2026-04-27 22:22:07 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2026-04-27 22:23:25 -0400,2026-04-27 22:23:25 -0400,HKQuantityTypeIdentifierHeartRate,count/min,78
2026-04-27 22:29:02 -0400,2026-04-27 22:29:02 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2026-04-27 22:35:59 -0400,2026-04-27 22:35:59 -0400,HKQuantityTypeIdentifierHeartRate,count/min,81
2026-04-27 22:42:49 -0400,2026-04-27 22:42:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,74
2026-04-27 22:47:26 -0400,2026-04-27 22:47:26 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2026-04-27 22:49:34 -0400,2026-04-27 22:49:34 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2026-04-27 22:53:54 -0400,2026-04-27 22:53:54 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2026-04-27 22:58:17 -0400,2026-04-27 22:58:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,77
2026-04-27 23:06:46 -0400,2026-04-27 23:06:46 -0400,HKQuantityTypeIdentifierHeartRate,count/min,78
2026-04-27 23:12:21 -0400,2026-04-27 23:12:21 -0400,HKQuantityTypeIdentifierHeartRate,count/min,79
2026-04-27 23:13:36 -0400,2026-04-27 23:13:36 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2026-04-27 23:20:54 -0400,2026-04-27 23:20:54 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-27 23:23:49 -0400,2026-04-27 23:23:49 -0400,HKQuantityTypeIdentifierHeartRate,count/min,73
2026-04-27 23:30:57 -0400,2026-04-27 23:30:57 -0400,HKQuantityTypeIdentifierHeartRate,count/min,73
2026-04-27 23:34:08 -0400,2026-04-27 23:34:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,74
2026-04-27 23:39:39 -0400,2026-04-27 23:39:39 -0400,HKQuantityTypeIdentifierHeartRate,count/min,71
2026-04-27 23:47:52 -0400,2026-04-27 23:47:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,69
2026-04-27 23:49:52 -0400,2026-04-27 23:49:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,73
2026-04-27 23:52:56 -0400,2026-04-27 23:52:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,74
2026-04-27 23:57:58 -0400,2026-04-27 23:57:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,75
2026-04-28 00:02:59 -0400,2026-04-28 00:02:59 -0400,HKQuantityTypeIdentifierHeartRate,count/min,73
2026-04-28 00:08:13 -0400,2026-04-28 00:08:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,76
2026-04-28 00:17:56 -0400,2026-04-28 00:17:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,98
2026-04-28 00:13:06 -0400,2026-04-28 00:13:06 -0400,HKQuantityTypeIdentifierHeartRate,count/min,74
2026-04-28 00:21:17 -0400,2026-04-28 00:21:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,82
2026-04-28 00:23:16 -0400,2026-04-28 00:23:16 -0400,HKQuantityTypeIdentifierHeartRate,count/min,81
2026-04-28 00:30:55 -0400,2026-04-28 00:30:55 -0400,HKQuantityTypeIdentifierHeartRate,count/min,74
2026-04-28 00:33:25 -0400,2026-04-28 00:33:25 -0400,HKQuantityTypeIdentifierHeartRate,count/min,69.8473
2026-04-28 00:37:03 -0400,2026-04-28 00:37:03 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2026-04-28 00:40:45 -0400,2026-04-28 00:40:45 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2026-04-28 00:43:10 -0400,2026-04-28 00:43:10 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
