endDate,startDate,type,unit,value
2026-04-29 02:33:52 -0400,2026-04-29 02:33:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2026-04-29 02:37:51 -0400,2026-04-29 02:37:51 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-29 02:50:16 -0400,2026-04-29 02:50:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-29 02:59:42 -0400,2026-04-29 02:59:42 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2026-04-29 03:16:35 -0400,2026-04-29 03:16:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-29 03:18:35 -0400,2026-04-29 03:18:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-29 03:45:24 -0400,2026-04-29 03:45:24 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-04-29 03:54:50 -0400,2026-04-29 03:54:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-29 04:05:16 -0400,2026-04-29 04:05:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-29 04:10:44 -0400,2026-04-29 04:10:44 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2026-04-29 04:19:11 -0400,2026-04-29 04:19:11 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-29 04:35:05 -0400,2026-04-29 04:35:05 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-29 04:36:34 -0400,2026-04-29 04:36:34 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-29 04:50:29 -0400,2026-04-29 04:50:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-29 04:57:26 -0400,2026-04-29 04:57:26 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-29 05:08:21 -0400,2026-04-29 05:08:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-29 05:21:16 -0400,2026-04-29 05:21:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-29 05:30:13 -0400,2026-04-29 05:30:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-04-29 05:50:05 -0400,2026-04-29 05:50:05 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-29 05:57:02 -0400,2026-04-29 05:57:02 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-29 06:09:27 -0400,2026-04-29 06:09:27 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-29 06:23:22 -0400,2026-04-29 06:23:22 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-29 06:27:50 -0400,2026-04-29 06:27:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-29 06:38:46 -0400,2026-04-29 06:38:46 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-04-29 06:47:42 -0400,2026-04-29 06:47:42 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-29 07:00:37 -0400,2026-04-29 07:00:37 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,22
2026-04-29 07:08:04 -0400,2026-04-29 07:08:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-29 07:23:28 -0400,2026-04-29 07:23:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2026-04-30 00:38:39 -0400,2026-04-30 00:38:39 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-30 00:56:32 -0400,2026-04-30 00:56:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 00:59:31 -0400,2026-04-30 00:59:31 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-30 01:13:55 -0400,2026-04-30 01:13:55 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-30 01:25:21 -0400,2026-04-30 01:25:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 01:34:47 -0400,2026-04-30 01:34:47 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-30 01:39:45 -0400,2026-04-30 01:39:45 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 01:54:39 -0400,2026-04-30 01:54:39 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-30 02:06:34 -0400,2026-04-30 02:06:34 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2026-04-30 02:08:34 -0400,2026-04-30 02:08:34 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-30 02:20:29 -0400,2026-04-30 02:20:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
