endDate,startDate,type,value
2026-04-29 01:00:29 -0400,2026-04-29 00:56:31 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-29 01:13:54 -0400,2026-04-29 01:00:29 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 01:39:44 -0400,2026-04-29 01:13:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-29 01:46:11 -0400,2026-04-29 01:39:44 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 01:48:10 -0400,2026-04-29 01:46:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-29 01:48:40 -0400,2026-04-29 01:48:10 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 01:51:39 -0400,2026-04-29 01:48:40 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-29 01:59:36 -0400,2026-04-29 01:51:39 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 02:02:35 -0400,2026-04-29 01:59:36 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-29 02:27:25 -0400,2026-04-29 02:02:35 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 02:40:50 -0400,2026-04-29 02:27:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-29 03:08:39 -0400,2026-04-29 02:40:50 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 03:09:08 -0400,2026-04-29 03:08:39 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-29 03:10:08 -0400,2026-04-29 03:09:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 03:12:37 -0400,2026-04-29 03:10:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-29 03:18:05 -0400,2026-04-29 03:12:37 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 03:46:54 -0400,2026-04-29 03:18:05 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-29 05:11:20 -0400,2026-04-29 03:46:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 05:45:07 -0400,2026-04-29 05:11:20 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-29 05:45:37 -0400,2026-04-29 05:45:07 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-29 06:50:11 -0400,2026-04-29 05:45:37 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-29 07:24:28 -0400,2026-04-29 06:50:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-30 01:00:31 -0400,2026-04-30 00:42:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 01:15:25 -0400,2026-04-30 01:00:31 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-30 01:22:22 -0400,2026-04-30 01:15:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 01:38:45 -0400,2026-04-30 01:22:22 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-30 01:42:44 -0400,2026-04-30 01:38:45 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-30 02:04:05 -0400,2026-04-30 01:42:44 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
